Entity,Code,Year,Share of population with no education,Education
Canada,CAN,1995,0.5577563,99.442245
Canada,CAN,2000,0.49482408,99.50517
Canada,CAN,2005,0.43945697,99.56054
Canada,CAN,2010,0.4051949,99.5948
Canada,CAN,2015,0.3499652,99.65003
Canada,CAN,2020,0.009766055,99.990234
Canada,CAN,2025,0.05693183,99.94307
Canada,CAN,2030,0.0723542,99.92764
Canada,CAN,2035,0.084158346,99.91584
Canada,CAN,2040,0.09386556,99.906136
Canada,CAN,2045,0.10179484,99.89821
Canada,CAN,2050,0.10692971,99.893074
Canada,CAN,2055,0.109232314,99.89077
Canada,CAN,2060,0.10881745,99.89118
Canada,CAN,2065,0.10393853,99.896065
Canada,CAN,2070,0.096572846,99.90343
Canada,CAN,2075,0.08712721,99.91287
Canada,CAN,2080,0.0763406,99.92366
Canada,CAN,2085,0.06459749,99.9354
Canada,CAN,2090,0.052773166,99.94723
Canada,CAN,2095,0.041528776,99.95847
Canada,CAN,2100,0.03159042,99.96841
China,CHN,1950,66.50909,33.490913
China,CHN,1955,59.22221,40.77779
China,CHN,1960,51.541546,48.458454
China,CHN,1965,43.255375,56.744625
China,CHN,1970,35.120323,64.87968
China,CHN,1975,28.764107,71.23589
China,CHN,1980,22.870308,77.12969
China,CHN,1985,17.742258,82.257744
China,CHN,1990,13.929797,86.070206
China,CHN,1995,11.1661825,88.83382
China,CHN,2000,8.792872,91.20713
China,CHN,2005,6.68323,93.31677
China,CHN,2010,5.135085,94.864914
China,CHN,2015,4.011189,95.98881
China,CHN,2020,3.1310256,96.86897
China,CHN,2025,2.3860023,97.614
China,CHN,2030,1.8067669,98.19323
China,CHN,2035,1.372579,98.62742
China,CHN,2040,1.0601223,98.93988
China,CHN,2045,0.82174766,99.17825
China,CHN,2050,0.64126045,99.35874
China,CHN,2055,0.5055726,99.49443
China,CHN,2060,0.40043357,99.59956
China,CHN,2065,0.31642193,99.68358
China,CHN,2070,0.25034586,99.74966
China,CHN,2075,0.19884038,99.80116
China,CHN,2080,0.15773922,99.84226
China,CHN,2085,0.12447546,99.87553
China,CHN,2090,0.098140985,99.901855
China,CHN,2095,0.07777223,99.922226
China,CHN,2100,0.061833613,99.93816
Egypt,EGY,1950,76.14133,23.858673
Egypt,EGY,1955,74.256905,25.743095
Egypt,EGY,1960,72.03946,27.96054
Egypt,EGY,1965,68.9998,31.000198
Egypt,EGY,1970,65.47543,34.524567
Egypt,EGY,1975,61.76582,38.23418
Egypt,EGY,1980,58.29657,41.70343
Egypt,EGY,1985,54.428356,45.571644
Egypt,EGY,1990,50.19394,49.80606
Egypt,EGY,1995,45.00269,54.99731
Egypt,EGY,2000,39.246223,60.753777
Egypt,EGY,2005,33.52862,66.471375
Egypt,EGY,2010,28.473946,71.526054
Egypt,EGY,2015,24.403223,75.59678
Egypt,EGY,2020,23.546072,76.453926
Egypt,EGY,2025,19.725725,80.27428
Egypt,EGY,2030,16.339235,83.66077
Egypt,EGY,2035,13.539996,86.46001
Egypt,EGY,2040,11.22655,88.77345
Egypt,EGY,2045,9.278716,90.72128
Egypt,EGY,2050,7.6069508,92.39305
Egypt,EGY,2055,6.174637,93.82536
Egypt,EGY,2060,4.9677157,95.03229
Egypt,EGY,2065,3.9594047,96.040596
Egypt,EGY,2070,3.1189451,96.88106
Egypt,EGY,2075,2.4198554,97.58015
Egypt,EGY,2080,1.8531924,98.146805
Egypt,EGY,2085,1.4084642,98.59154
Egypt,EGY,2090,1.0737824,98.926216
Egypt,EGY,2095,0.83029413,99.16971
Egypt,EGY,2100,0.6517521,99.34825
France,FRA,1950,2.9413035,97.05869
France,FRA,1955,3.0475214,96.95248
France,FRA,1960,3.1021116,96.89789
France,FRA,1965,3.0656738,96.934326
France,FRA,1970,2.9923155,97.00768
France,FRA,1975,2.8850272,97.114975
France,FRA,1980,2.7475371,97.252464
France,FRA,1985,2.5799599,97.420044
France,FRA,1990,2.4019003,97.5981
France,FRA,1995,2.2398689,97.76013
France,FRA,2000,2.0616698,97.93833
France,FRA,2005,1.8665316,98.13347
France,FRA,2010,1.6622096,98.33779
France,FRA,2015,1.4672915,98.53271
France,FRA,2020,1.4184463,98.58155
France,FRA,2025,1.2797246,98.720276
France,FRA,2030,1.1356624,98.864334
France,FRA,2035,1.0096389,98.990364
France,FRA,2040,0.8971297,99.10287
France,FRA,2045,0.794971,99.20503
France,FRA,2050,0.69913816,99.300865
France,FRA,2055,0.60988283,99.390114
France,FRA,2060,0.5295245,99.470474
France,FRA,2065,0.45740828,99.542595
France,FRA,2070,0.39335284,99.60664
France,FRA,2075,0.3351193,99.66488
France,FRA,2080,0.2813769,99.71862
France,FRA,2085,0.23343073,99.76657
France,FRA,2090,0.19251482,99.80749
France,FRA,2095,0.15855029,99.841446
France,FRA,2100,0.1297938,99.87021
Germany,DEU,1950,0,100
Germany,DEU,1955,0,100
Germany,DEU,1960,0,100
Germany,DEU,1965,0,100
Germany,DEU,1970,0,100
Germany,DEU,1975,0,100
Germany,DEU,1980,0,100
Germany,DEU,1985,0,100
Germany,DEU,1990,0,100
Germany,DEU,1995,0,100
Germany,DEU,2000,0,100
Germany,DEU,2005,0,100
Germany,DEU,2010,0,100
Germany,DEU,2015,0,100
Germany,DEU,2020,0.010296971,99.9897
Germany,DEU,2025,0.032833688,99.96716
Germany,DEU,2030,0.040591173,99.95941
Germany,DEU,2035,0.047042813,99.95296
Germany,DEU,2040,0.05254839,99.94745
Germany,DEU,2045,0.057003174,99.94299
Germany,DEU,2050,0.060421854,99.939575
Germany,DEU,2055,0.06279796,99.9372
Germany,DEU,2060,0.06378293,99.93622
Germany,DEU,2065,0.06248337,99.937515
Germany,DEU,2070,0.059400797,99.9406
Germany,DEU,2075,0.055110555,99.94489
Germany,DEU,2080,0.04989998,99.9501
Germany,DEU,2085,0.04419293,99.95581
Germany,DEU,2090,0.038451023,99.96155
Germany,DEU,2095,0.033024646,99.96697
Germany,DEU,2100,0.028060827,99.97194
India,IND,1950,71.06618,28.933823
India,IND,1955,69.90479,30.095207
India,IND,1960,68.30093,31.699074
India,IND,1965,66.08345,33.91655
India,IND,1970,62.816204,37.183796
India,IND,1975,59.588318,40.411682
India,IND,1980,56.486507,43.513493
India,IND,1985,53.310673,46.689327
India,IND,1990,49.859665,50.140335
India,IND,1995,46.182808,53.817192
India,IND,2000,42.231083,57.768917
India,IND,2005,38.007557,61.992443
India,IND,2010,33.522945,66.47705
India,IND,2015,29.653109,70.34689
India,IND,2020,27.626644,72.37335
India,IND,2025,24.041622,75.958374
India,IND,2030,20.991943,79.00806
India,IND,2035,18.254148,81.74585
India,IND,2040,15.806523,84.193474
India,IND,2045,13.5493145,86.45068
India,IND,2050,11.48009,88.51991
India,IND,2055,9.595892,90.404106
India,IND,2060,7.8978195,92.10218
India,IND,2065,6.384358,93.61564
India,IND,2070,5.048376,94.95162
India,IND,2075,3.8997242,96.10027
India,IND,2080,2.9490502,97.05095
India,IND,2085,2.1920707,97.80793
India,IND,2090,1.6108003,98.3892
India,IND,2095,1.1742865,98.825714
India,IND,2100,0.84979624,99.15021
Indonesia,IDN,1950,60.995125,39.004875
Indonesia,IDN,1955,55.79416,44.20584
Indonesia,IDN,1960,50.419395,49.580605
Indonesia,IDN,1965,45.170094,54.829906
Indonesia,IDN,1970,39.21498,60.78502
Indonesia,IDN,1975,33.247192,66.75281
Indonesia,IDN,1980,27.761906,72.2381
Indonesia,IDN,1985,22.8089,77.1911
Indonesia,IDN,1990,18.487331,81.512665
Indonesia,IDN,1995,14.976232,85.023766
Indonesia,IDN,2000,12.150378,87.849625
Indonesia,IDN,2005,9.7650175,90.234985
Indonesia,IDN,2010,7.7719607,92.22804
Indonesia,IDN,2015,6.061434,93.93857
Indonesia,IDN,2020,5.239869,94.76013
Indonesia,IDN,2025,4.074292,95.925705
Indonesia,IDN,2030,3.2596853,96.74032
Indonesia,IDN,2035,2.6435416,97.35646
Indonesia,IDN,2040,2.169278,97.83072
Indonesia,IDN,2045,1.8019638,98.19804
Indonesia,IDN,2050,1.5197719,98.480225
Indonesia,IDN,2055,1.3091875,98.69081
Indonesia,IDN,2060,1.1548047,98.84519
Indonesia,IDN,2065,1.0393097,98.96069
Indonesia,IDN,2070,0.9479496,99.05205
Indonesia,IDN,2075,0.8719736,99.12803
Indonesia,IDN,2080,0.8056868,99.19431
Indonesia,IDN,2085,0.7457847,99.25422
Indonesia,IDN,2090,0.69037956,99.30962
Indonesia,IDN,2095,0.6386032,99.3614
Indonesia,IDN,2100,0.5898649,99.41013
Italy,ITA,1950,11.502812,88.497185
Italy,ITA,1955,9.7763195,90.22368
Italy,ITA,1960,8.322821,91.67718
Italy,ITA,1965,6.927448,93.072556
Italy,ITA,1970,5.7811666,94.218834
Italy,ITA,1975,4.7485256,95.25147
Italy,ITA,1980,3.8320162,96.167984
Italy,ITA,1985,3.0650244,96.934975
Italy,ITA,1990,2.480118,97.51988
Italy,ITA,1995,2.021261,97.97874
Italy,ITA,2000,1.6307478,98.369255
Italy,ITA,2005,1.2837485,98.716255
Italy,ITA,2010,1.0003299,98.99967
Italy,ITA,2015,0.7750836,99.224915
Italy,ITA,2020,0.636458,99.36354
Italy,ITA,2025,0.5332877,99.46671
Italy,ITA,2030,0.45279595,99.5472
Italy,ITA,2035,0.3981971,99.60181
Italy,ITA,2040,0.36273742,99.63726
Italy,ITA,2045,0.33762646,99.66238
Italy,ITA,2050,0.31668475,99.68331
Italy,ITA,2055,0.29605275,99.70395
Italy,ITA,2060,0.27435905,99.72564
Italy,ITA,2065,0.24855594,99.75144
Italy,ITA,2070,0.22146022,99.77854
Italy,ITA,2075,0.19379759,99.806206
Italy,ITA,2080,0.16749932,99.832504
Italy,ITA,2085,0.14358397,99.856415
Italy,ITA,2090,0.121431656,99.87857
Italy,ITA,2095,0.101155736,99.89884
Italy,ITA,2100,0.08364346,99.91636
Japan,JPN,1950,3.3552842,96.644714
Japan,JPN,1955,2.397191,97.602806
Japan,JPN,1960,1.6855203,98.314476
Japan,JPN,1965,1.1492376,98.85076
Japan,JPN,1970,0.822323,99.17767
Japan,JPN,1975,0.6099692,99.39003
Japan,JPN,1980,0.46128044,99.53872
Japan,JPN,1985,0.3523912,99.647606
Japan,JPN,1990,0.27168062,99.72832
Japan,JPN,1995,0.21432821,99.785675
Japan,JPN,2000,0.174509,99.82549
Japan,JPN,2005,0.14618386,99.85381
Japan,JPN,2010,0.12572566,99.874275
Japan,JPN,2015,0.105705865,99.894295
Japan,JPN,2020,0.10036245,99.899635
Japan,JPN,2025,0.102787316,99.89721
Japan,JPN,2030,0.10208312,99.89792
Japan,JPN,2035,0.102147914,99.89785
Japan,JPN,2040,0.102694124,99.89731
Japan,JPN,2045,0.10335176,99.896645
Japan,JPN,2050,0.10382277,99.89618
Japan,JPN,2055,0.10382179,99.89618
Japan,JPN,2060,0.10340836,99.89659
Japan,JPN,2065,0.10207111,99.89793
Japan,JPN,2070,0.0999576,99.90004
Japan,JPN,2075,0.09679869,99.9032
Japan,JPN,2080,0.092153765,99.907845
Japan,JPN,2085,0.08602759,99.91397
Japan,JPN,2090,0.07876394,99.921234
Japan,JPN,2095,0.07079782,99.9292
Japan,JPN,2100,0.06294621,99.93706
Kenya,KEN,1950,78.34426,21.655739
Kenya,KEN,1955,74.10841,25.891586
Kenya,KEN,1960,69.36933,30.630669
Kenya,KEN,1965,63.29527,36.70473
Kenya,KEN,1970,56.144238,43.855762
Kenya,KEN,1975,49.14818,50.85182
Kenya,KEN,1980,42.135075,57.864925
Kenya,KEN,1985,35.927982,64.07202
Kenya,KEN,1990,30.25458,69.74542
Kenya,KEN,1995,25.419231,74.580765
Kenya,KEN,2000,21.554516,78.44548
Kenya,KEN,2005,18.556797,81.44321
Kenya,KEN,2010,16.282919,83.71708
Kenya,KEN,2015,12.915717,87.08428
Kenya,KEN,2020,13.385207,86.61479
Kenya,KEN,2025,11.836992,88.16301
Kenya,KEN,2030,10.659016,89.34099
Kenya,KEN,2035,9.68267,90.31733
Kenya,KEN,2040,8.844011,91.15599
Kenya,KEN,2045,8.108881,91.89112
Kenya,KEN,2050,7.4591007,92.5409
Kenya,KEN,2055,6.882217,93.11778
Kenya,KEN,2060,6.3634505,93.63655
Kenya,KEN,2065,5.888517,94.11148
Kenya,KEN,2070,5.4523253,94.547676
Kenya,KEN,2075,5.0434375,94.956566
Kenya,KEN,2080,4.665313,95.33469
Kenya,KEN,2085,4.313955,95.68604
Kenya,KEN,2090,3.9852083,96.01479
Kenya,KEN,2095,3.675911,96.32409
Kenya,KEN,2100,3.3856344,96.614365
Mexico,MEX,1950,47.34831,52.65169
Mexico,MEX,1955,44.322147,55.677853
Mexico,MEX,1960,40.51878,59.48122
Mexico,MEX,1965,36.176723,63.823277
Mexico,MEX,1970,31.165209,68.83479
Mexico,MEX,1975,26.395266,73.60474
Mexico,MEX,1980,22.152859,77.84714
Mexico,MEX,1985,18.346987,81.653015
Mexico,MEX,1990,14.935738,85.06426
Mexico,MEX,1995,12.3423395,87.65766
Mexico,MEX,2000,10.301426,89.69858
Mexico,MEX,2005,8.549897,91.4501
Mexico,MEX,2010,6.9680543,93.031944
Mexico,MEX,2015,5.629442,94.37056
Mexico,MEX,2020,5.1378775,94.86212
Mexico,MEX,2025,4.0533953,95.9466
Mexico,MEX,2030,3.2945068,96.70549
Mexico,MEX,2035,2.708144,97.291855
Mexico,MEX,2040,2.2349226,97.765076
Mexico,MEX,2045,1.8508036,98.14919
Mexico,MEX,2050,1.53855,98.46145
Mexico,MEX,2055,1.2849839,98.71502
Mexico,MEX,2060,1.0775207,98.92248
Mexico,MEX,2065,0.9039628,99.09604
Mexico,MEX,2070,0.7554007,99.2446
Mexico,MEX,2075,0.62692,99.37308
Mexico,MEX,2080,0.5174801,99.48252
Mexico,MEX,2085,0.42606184,99.57394
Mexico,MEX,2090,0.35056683,99.64944
Mexico,MEX,2095,0.28765887,99.71234
Mexico,MEX,2100,0.23480459,99.7652
Netherlands,NLD,1950,0,100
Netherlands,NLD,1955,0,100
Netherlands,NLD,1960,0,100
Netherlands,NLD,1965,0,100
Netherlands,NLD,1970,0,100
Netherlands,NLD,1975,0,100
Netherlands,NLD,1980,0,100
Netherlands,NLD,1985,0,100
Netherlands,NLD,1990,0,100
Netherlands,NLD,1995,0,100
Netherlands,NLD,2000,0,100
Netherlands,NLD,2005,0,100
Netherlands,NLD,2010,0,100
Netherlands,NLD,2015,0,100
Netherlands,NLD,2020,0.010220072,99.98978
Netherlands,NLD,2025,0.026765877,99.973236
Netherlands,NLD,2030,0.03438562,99.965614
Netherlands,NLD,2035,0.040075157,99.95992
Netherlands,NLD,2040,0.04519937,99.9548
Netherlands,NLD,2045,0.049662814,99.95034
Netherlands,NLD,2050,0.05285688,99.94714
Netherlands,NLD,2055,0.0548242,99.945175
Netherlands,NLD,2060,0.05552761,99.94447
Netherlands,NLD,2065,0.054194525,99.94581
Netherlands,NLD,2070,0.05214138,99.94786
Netherlands,NLD,2075,0.048069116,99.95193
Netherlands,NLD,2080,0.043392096,99.95661
Netherlands,NLD,2085,0.038835704,99.96117
Netherlands,NLD,2090,0.033728343,99.96627
Netherlands,NLD,2095,0.029307751,99.970695
Netherlands,NLD,2100,0.02619361,99.97381
Nigeria,NGA,1950,88.11312,11.886879
Nigeria,NGA,1955,86.196304,13.803696
Nigeria,NGA,1960,83.98762,16.012383
Nigeria,NGA,1965,81.2906,18.709396
Nigeria,NGA,1970,78.27331,21.726692
Nigeria,NGA,1975,74.485596,25.514404
Nigeria,NGA,1980,69.5429,30.4571
Nigeria,NGA,1985,64.30718,35.692818
Nigeria,NGA,1990,58.6096,41.3904
Nigeria,NGA,1995,53.03662,46.96338
Nigeria,NGA,2000,48.006287,51.993713
Nigeria,NGA,2005,43.616783,56.383217
Nigeria,NGA,2010,39.61598,60.38402
Nigeria,NGA,2015,35.69368,64.30632
Nigeria,NGA,2020,29.720373,70.279625
Nigeria,NGA,2025,26.60158,73.39842
Nigeria,NGA,2030,23.933416,76.06658
Nigeria,NGA,2035,21.62725,78.37275
Nigeria,NGA,2040,19.63195,80.36805
Nigeria,NGA,2045,17.847195,82.1528
Nigeria,NGA,2050,16.235487,83.76451
Nigeria,NGA,2055,14.773124,85.226875
Nigeria,NGA,2060,13.451142,86.54886
Nigeria,NGA,2065,12.260891,87.739105
Nigeria,NGA,2070,11.198271,88.80173
Nigeria,NGA,2075,10.245569,89.75443
Nigeria,NGA,2080,9.387388,90.61261
Nigeria,NGA,2085,8.609366,91.39063
Nigeria,NGA,2090,7.8995147,92.10049
Nigeria,NGA,2095,7.2527323,92.74727
Nigeria,NGA,2100,6.6651893,93.33481
Poland,POL,1950,0,100
Poland,POL,1955,0,100
Poland,POL,1960,0,100
Poland,POL,1965,0,100
Poland,POL,1970,0,100
Poland,POL,1975,0,100
Poland,POL,1980,0,100
Poland,POL,1985,0,100
Poland,POL,1990,0,100
Poland,POL,1995,0,100
Poland,POL,2000,0,100
Poland,POL,2005,0,100
Poland,POL,2010,0,100
Poland,POL,2015,0,100
Poland,POL,2020,0.010435627,99.98956
Poland,POL,2025,0.025892617,99.974106
Poland,POL,2030,0.030979594,99.96902
Poland,POL,2035,0.036512587,99.963486
Poland,POL,2040,0.040924586,99.959076
Poland,POL,2045,0.04477693,99.95522
Poland,POL,2050,0.047581077,99.952415
Poland,POL,2055,0.04971982,99.95028
Poland,POL,2060,0.05039424,99.94961
Poland,POL,2065,0.049233045,99.95077
Poland,POL,2070,0.04752886,99.95247
Poland,POL,2075,0.044506073,99.95549
Poland,POL,2080,0.04099294,99.95901
Poland,POL,2085,0.03712823,99.962875
Poland,POL,2090,0.032802362,99.9672
Poland,POL,2095,0.028080398,99.97192
Poland,POL,2100,0.023941714,99.97606
Russia,RUS,1950,2.5221856,97.47781
Russia,RUS,1955,1.9839472,98.01605
Russia,RUS,1960,1.6674414,98.33256
Russia,RUS,1965,1.3266022,98.6734
Russia,RUS,1970,1.0392833,98.96072
Russia,RUS,1975,0.81327343,99.18673
Russia,RUS,1980,0.64989024,99.35011
Russia,RUS,1985,0.52799153,99.47201
Russia,RUS,1990,0.43350202,99.5665
Russia,RUS,1995,0.3599128,99.64009
Russia,RUS,2000,0.30611828,99.69388
Russia,RUS,2005,0.27316594,99.72684
Russia,RUS,2010,0.2533636,99.746635
Russia,RUS,2015,0.22988659,99.77011
Russia,RUS,2020,0.23206826,99.76793
Russia,RUS,2025,0.2556057,99.74439
Russia,RUS,2030,0.26212537,99.73788
Russia,RUS,2035,0.26518354,99.73482
Russia,RUS,2040,0.26603565,99.73396
Russia,RUS,2045,0.26366818,99.73633
Russia,RUS,2050,0.257125,99.742874
Russia,RUS,2055,0.24596962,99.75403
Russia,RUS,2060,0.2303225,99.76968
Russia,RUS,2065,0.20979255,99.79021
Russia,RUS,2070,0.18764363,99.812355
Russia,RUS,2075,0.1654108,99.83459
Russia,RUS,2080,0.14381549,99.856186
Russia,RUS,2085,0.123348,99.876656
Russia,RUS,2090,0.10461106,99.895386
Russia,RUS,2095,0.08775253,99.91225
Russia,RUS,2100,0.07295024,99.92705
South Africa,ZAF,1950,56.217575,43.782425
South Africa,ZAF,1955,51.20836,48.79164
South Africa,ZAF,1960,45.91777,54.08223
South Africa,ZAF,1965,40.791145,59.208855
South Africa,ZAF,1970,35.0158,64.9842
South Africa,ZAF,1975,29.661537,70.33846
South Africa,ZAF,1980,24.89983,75.100174
South Africa,ZAF,1985,20.587952,79.41205
South Africa,ZAF,1990,16.88149,83.11851
South Africa,ZAF,1995,13.849909,86.15009
South Africa,ZAF,2000,11.399612,88.60039
South Africa,ZAF,2005,9.235777,90.76422
South Africa,ZAF,2010,7.3926444,92.60735
South Africa,ZAF,2015,5.7340117,94.26599
South Africa,ZAF,2020,5.361598,94.638405
South Africa,ZAF,2025,4.2232766,95.776726
South Africa,ZAF,2030,3.389229,96.61077
South Africa,ZAF,2035,2.7014117,97.29859
South Africa,ZAF,2040,2.1538153,97.84618
South Africa,ZAF,2045,1.7116296,98.28837
South Africa,ZAF,2050,1.3582176,98.641785
South Africa,ZAF,2055,1.078024,98.921974
South Africa,ZAF,2060,0.8572955,99.14271
South Africa,ZAF,2065,0.6817852,99.318214
South Africa,ZAF,2070,0.5417865,99.45821
South Africa,ZAF,2075,0.4295867,99.57041
South Africa,ZAF,2080,0.33900875,99.66099
South Africa,ZAF,2085,0.26852372,99.731476
South Africa,ZAF,2090,0.21309417,99.7869
South Africa,ZAF,2095,0.16933374,99.830666
South Africa,ZAF,2100,0.13359503,99.8664
Spain,ESP,1950,22.103752,77.89625
Spain,ESP,1955,18.72685,81.27315
Spain,ESP,1960,15.491613,84.508385
Spain,ESP,1965,12.699865,87.30013
Spain,ESP,1970,10.313095,89.686905
Spain,ESP,1975,8.161989,91.83801
Spain,ESP,1980,6.490949,93.50905
Spain,ESP,1985,5.2092566,94.79074
Spain,ESP,1990,4.1842623,95.815735
Spain,ESP,1995,3.3719633,96.62804
Spain,ESP,2000,2.7361565,97.26384
Spain,ESP,2005,2.1955152,97.80448
Spain,ESP,2010,1.7988026,98.201195
Spain,ESP,2015,1.4898344,98.51016
Spain,ESP,2020,1.3559046,98.6441
Spain,ESP,2025,1.1462423,98.85376
Spain,ESP,2030,0.97513753,99.024864
Spain,ESP,2035,0.85417914,99.14582
Spain,ESP,2040,0.77424777,99.22575
Spain,ESP,2045,0.71706414,99.282936
Spain,ESP,2050,0.6708352,99.32916
Spain,ESP,2055,0.6272683,99.372734
Spain,ESP,2060,0.5820263,99.41798
Spain,ESP,2065,0.5325039,99.4675
Spain,ESP,2070,0.48277745,99.51722
Spain,ESP,2075,0.4331618,99.56684
Spain,ESP,2080,0.38337117,99.61663
Spain,ESP,2085,0.33437315,99.66563
Spain,ESP,2090,0.2873687,99.71263
Spain,ESP,2095,0.24361506,99.756386
Spain,ESP,2100,0.20386043,99.79614
Sweden,SWE,1950,0,100
Sweden,SWE,1955,0,100
Sweden,SWE,1960,0,100
Sweden,SWE,1965,0,100
Sweden,SWE,1970,0,100
Sweden,SWE,1975,0,100
Sweden,SWE,1980,0,100
Sweden,SWE,1985,0,100
Sweden,SWE,1990,0,100
Sweden,SWE,1995,0,100
Sweden,SWE,2000,0,100
Sweden,SWE,2005,0,100
Sweden,SWE,2010,0,100
Sweden,SWE,2015,0,100
Sweden,SWE,2020,0.009423406,99.99058
Sweden,SWE,2025,0.04215227,99.95785
Sweden,SWE,2030,0.051940586,99.94806
Sweden,SWE,2035,0.059205357,99.940796
Sweden,SWE,2040,0.06547889,99.934525
Sweden,SWE,2045,0.070482396,99.92952
Sweden,SWE,2050,0.073207185,99.926796
Sweden,SWE,2055,0.07464172,99.92536
Sweden,SWE,2060,0.07389258,99.92611
Sweden,SWE,2065,0.07029209,99.92971
Sweden,SWE,2070,0.066154204,99.933846
Sweden,SWE,2075,0.06053435,99.93947
Sweden,SWE,2080,0.05342848,99.94657
Sweden,SWE,2085,0.046619628,99.95338
Sweden,SWE,2090,0.04001067,99.95999
Sweden,SWE,2095,0.033522706,99.96648
Sweden,SWE,2100,0.02802347,99.97198
Thailand,THA,1950,49.915306,50.084694
Thailand,THA,1955,41.712097,58.287903
